tour_code,name,slug,summary,image_folder_path,price_from,duration_days,min_group_size,max_group_size,group_size_display,travel_style,activity_level,regions,provinces,primary_location_slug,accommodation_note,transport_note,season,is_featured,is_active,tour_type,hero_image_path,overview_image_path,thumbnail_image_path,is_bookable
ADTF,Afghanistan Discovery Tour Fall,afghanistan-discovery-tour-fall,"Explore the legendary historical sites of Kabul, Bamyan, and Herat framed by the brilliant golden hues, crisp air, and seasonal harvests of an Afghan autumn.",/assets/images/featured-tours/afghanistan-discovery-tour-fall/,1950,9,2,10,Private or 2-8 travelers,Cultural / Scenic,Moderate,West;Central,Kabul;Bamyan;Parwan;Wardak;Herat,kabul-city,"3-star and 4-star hotels in central Kabul, Herat and Bamyan",Domestic flights and 4WD vehicles,Sep-Nov,0,1,featured,/assets/images/featured-tours/afghanistan-discovery-tour-fall/hero.webp,/assets/images/featured-tours/afghanistan-discovery-tour-fall/overview.webp,/assets/images/featured-tours/afghanistan-discovery-tour-fall/thumbnail.webp,1
BSKI,Bamyan Skiing Tour,bamyan-skiing-tour,"Combine premier winter sport with deep cultural immersion, carving fresh tracks into the legendary slopes of the Koh-e-Baba mountains before relaxing in historic Bamyan.",/assets/images/featured-tours/bamyan-skiing-tour/,1300,5,2,10,Private or 2-8 travelers,Cultural / Scenic,Challenging,Central,Kabul;Bamyan;Parwan;Wardak,bamyan-city,3-star and 4-star hotels in central Kabul and Bamyan,4WD vehicles,Jan-Mar,1,1,featured,/assets/images/featured-tours/bamyan-skiing-tour/hero.webp,/assets/images/featured-tours/bamyan-skiing-tour/overview.webp,/assets/images/featured-tours/bamyan-skiing-tour/thumbnail.webp,1
BUZE,Buzkashi Expedition,buzkashi-expedition,"A thrilling, fast-paced winter journey centered around witnessing Afghanistan's fierce and spectacular national sport, Buzkashi, played across the northern plains.",/assets/images/featured-tours/buzkashi-expedition/,2450,10,2,10,Private or 2-8 travelers,Cultural / Scenic,Leisurely,Central;North,Kabul;Bamyan;Parwan;Wardak;Baghlan;Samangan;Balkh,kabul-city,"3-star and 4-star hotels in central Kabul, Mazar-e-Sharif and Bamyan.",Domestic flights and 4WD vehicles,Dec-Mar,0,1,featured,/assets/images/featured-tours/buzkashi-expedition/hero.webp,/assets/images/featured-tours/buzkashi-expedition/overview.webp,/assets/images/featured-tours/buzkashi-expedition/thumbnail.webp,1
KBLS,Kabul & Surroundings,kabul-surroundings,"Discover the fascinating layers of Afghanistan's capital city and its nearby valleys, exploring bustling bazaars, historic gardens, and spectacular mountain passes.",/assets/images/featured-tours/kabul-surroundings/,990,6,2,8,Private or 2-8 travelers,Cultural / Scenic,Leisurely,Central,Kabul;Parwan;Panjshir,kabul-city,3-star and 4-star hotels in central Kabul,4WD vehicles,Year-round,1,1,featured,/assets/images/featured-tours/kabul-surroundings/hero.webp,/assets/images/featured-tours/kabul-surroundings/overview.webp,/assets/images/featured-tours/kabul-surroundings/thumbnail.webp,1
WKND,Weekend in Kabul,weekend-in-kabul,"A condensed but rich itinerary perfect for short-stay travelers looking to experience the vibrant markets, historical landmarks, and culinary highlights of Kabul.",/assets/images/featured-tours/weekend-in-kabul/,450,3,2,12,Private or 2-8 travelers,Cultural / Scenic,Leisurely,Central,Kabul,kabul-city,3-star and 4-star hotels in central Kabul,4WD vehicles,Year-round,1,1,featured,/assets/images/featured-tours/weekend-in-kabul/hero.webp,/assets/images/featured-tours/weekend-in-kabul/overview.webp,/assets/images/featured-tours/weekend-in-kabul/thumbnail.webp,1
WNTC,Winter Circuit,winter-circuit,"Journey through the quiet, snow-covered beauty of central and northern Afghanistan, offering an unforgettable perspective on local life during the serene winter months.",/assets/images/featured-tours/winter-circuit/,2100,12,2,8,Private or 2-8 travelers,Cultural / Scenic,Moderate,Central,Kabul;Bamyan;Parwan;Wardak;Samangan;Balkh;Kunduz,bamyan-city,3-star and 4-star hotels in central Kabul and Mazar-e-Sharif,Domestic flights and 4WD vehicles,Nov-Mar,0,1,featured,/assets/images/featured-tours/winter-circuit/hero.webp,/assets/images/featured-tours/winter-circuit/overview.webp,/assets/images/featured-tours/winter-circuit/thumbnail.webp,1
SUMC,Summer Circuit,summer-circuit,Take advantage of the perfect mountain weather to traverse the ancient trade routes connecting the high valleys of Bamyan with the northern plains of Mazar-e-Sharif.,/assets/images/featured-tours/summer-circuit/,1950,8,2,8,Private or 2-8 travelers,Cultural / Scenic,Moderate,Central;North,Kabul;Balkh;Bamyan;Parwan;Wardak;Samangan;Baghlan,bamyan-city,3-star and 4-star hotels in central Kabul and Mazar-e-Sharif,Domestic flights and 4WD vehicles,Jun-Sep,0,1,featured,/assets/images/featured-tours/summer-circuit/hero.webp,/assets/images/featured-tours/summer-circuit/overview.webp,/assets/images/featured-tours/summer-circuit/thumbnail.webp,1
TSRA,Treasures of the Silk Road,treasures-of-silk-road-afghanistan,"An epic cross-country expedition tracing the footsteps of ancient traders, connecting the blue-tiled mosques of Mazar-e-Sharif and Herat with the heart of Kabul.",/assets/images/featured-tours/treasures-of-silk-road-afghanistan/,2450,10,2,8,Private or 2-8 travelers,Cultural / Scenic,Moderate,West;Central;North,Kabul;Balkh;Bamyan;Parwan;Wardak;Herat,herat-city,"3-star and 4-star hotels in central Kabul, Mazar-e-Sharif and Herat",Domestic flights and 4WD vehicles,Year-round,0,1,featured,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/hero.webp,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/overview.webp,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/thumbnail.webp,1
TGHT,The Timurid Grandeur of Herat,timurid-grandeur-herat-tour,"Delve into the artistic and architectural pinnacle of Islamic history, exploring the magnificent minarets, citadels, and tile-making workshops of western Afghanistan.",/assets/images/featured-tours/timurid-grandeur-herat-tour/,1850,7,2,12,Private or 2-8 travelers,Cultural / Scenic,Moderate,West;Central,Kabul;Herat,herat-city,3-star and 4-star hotels in central Kabul and Herat,Domestic flights and 4WD vehicles,Year-round,1,1,featured,/assets/images/featured-tours/timurid-grandeur-herat-tour/hero.webp,/assets/images/featured-tours/timurid-grandeur-herat-tour/overview.webp,/assets/images/featured-tours/timurid-grandeur-herat-tour/thumbnail.webp,1
TGHT-EXT,The Timurid Grandeur of Herat — Additional Minaret-e-Jam,timurid-grandeur-herat-tour-add-minaret-e-jam,"An extraordinary rugged trek extending your western tour deep into the mountains of Ghor to witness the legendary, UNESCO-listed 12th-century Minaret of Jam.",/assets/images/featured-tours/timurid-grandeur-herat-tour-add-minaret-e-jam/,2250,10,2,8,Private or 2-8 travelers,Cultural / Scenic,Intermediate,West;Central,Kabul;Herat;Ghor,herat-city,3-star and 4-star hotels in central Kabul and Herat.,Domestic flights and 4WD vehicles,Apr-Oct,0,0,featured,/assets/images/featured-tours/timurid-grandeur-herat-tour-add-minaret-e-jam/hero.webp,/assets/images/featured-tours/timurid-grandeur-herat-tour-add-minaret-e-jam/overview.webp,/assets/images/featured-tours/timurid-grandeur-herat-tour-add-minaret-e-jam/thumbnail.webp,1
TTWC,Trekking the Wakhan Corridor,trek-the-wakhan-corridor,"A premier, high-altitude wilderness expedition into the remote Wakhan Corridor, hiking alongside rivers and meeting the hospitable, nomadic Wakhi and Kyrgyz peoples.",/assets/images/custom-tours/trek-the-wakhan-corridor/,4850,21,2,8,Private or 2-8 travelers,Custom,Advanced,Central;North,Kabul;Balkh;Kunduz;Takhar;Badakhshan,faizabad-city,"3-star and 4-star hotels in central Kabul, Mazar-e-Sharif and Faizabad. While in the Wakhan camping tents.",Flight Kabul-Faizabad; 4WD to Ishkashim then horses/hiking,Jun-Aug,0,0,custom,/assets/images/featured-tours/trek-the-wakhan-corridor/hero.webp,/assets/images/featured-tours/trek-the-wakhan-corridor/overview.webp,/assets/images/featured-tours/trek-the-wakhan-corridor/thumbnail.webp,1
PVEH,Panjshir Valley: Emeralds & History,panjshir-valley-emeralds-history,"A four-day journey from Kabul into Panjshir for river valleys, village stops, modern history, and emerald-working communities when access allows.",/assets/images/featured-tours/panjshir-valley-emeralds-history/,750,4,2,12,Private or 2-8 travelers,Cultural / Scenic,Intermediate,Central,Kabul;Parwan;Panjshir,panjshir,3-star and 4-star hotels in central Kabul,4WD vehicles,Apr-Oct,1,1,featured,/assets/images/featured-tours/panjshir-valley-emeralds-history/hero.webp,/assets/images/featured-tours/panjshir-valley-emeralds-history/overview.webp,/assets/images/featured-tours/panjshir-valley-emeralds-history/thumbnail.webp,1
KTDE,Kandahar: The Durrani Empire,kandahar-durrani-empire-tour,"Journey south to the birthplace of modern Afghanistan to explore the grand shrines, rich political history, and vibrant fruit markets of the historic Durrani capital.",/assets/images/featured-tours/kandahar-durrani-empire-tour/,1250,6,2,12,Private or 2-8 travelers,Cultural / Scenic,Moderate,Central;South,Kabul;Kandahar,kandahar-city,3-star and 4-star hotels in central Kabul and Kandahar,Domestic flights and 4WD vehicles,Year-round,1,1,featured,/assets/images/featured-tours/kandahar-durrani-empire-tour/hero.webp,/assets/images/featured-tours/kandahar-durrani-empire-tour/overview.webp,/assets/images/featured-tours/kandahar-durrani-empire-tour/thumbnail.webp,1
