tour_code,tour_slug,day_number,title,location,overnight_hub,description,attraction_codes,food_culture,provinces_traversed,is_active,sort_order
BSKI,bamyan-skiing-tour,2,Overland drive to Bamyan and valley orientation,Kabul to Bamyan,bamyan-city,"Drive by 4WD from Kabul toward Bamyan, usually through the central highlands. On arrival, settle into the hotel and make a short orientation visit in the Bamyan valley if daylight allows.",BMY-001|BMY-002,ash,Kabul;Parwan;Wardak;Bamyan,1,2
BSKI,bamyan-skiing-tour,3,Koh-e-Baba backcountry ski day,Bamyan / Koh-e-Baba,bamyan-city,"A guided ski touring day in the Koh-e-Baba range. Route choice depends on snowfall, visibility, wind, avalanche risk, and group ability; this is not a resort-skiing day.",BMY-005,green-tea,Bamyan,1,3
BSKI,bamyan-skiing-tour,4,Bamyan cultural sites and weather-flex ski option,Bamyan,bamyan-city,"A flexible day balancing the Buddha Niches, Shahr-e-Gholghola, Shahr-e-Zohak, Dragon Valley, or a second short ski outing if snow and road conditions are favorable.",BMY-001|BMY-002|BMY-003|BMY-006,mantu,Bamyan,1,4
BSKI,bamyan-skiing-tour,5,Return to Kabul and departure positioning,Bamyan to Kabul,kabul-city,Return by 4WD to Kabul with timing kept conservative for winter road conditions. Guests either overnight in Kabul or connect to later departures when practical.,,green-tea,Bamyan;Wardak;Parwan;Kabul,1,5
PVEH,panjshir-valley-emeralds-history,1,Arrival and Kabul orientation,Kabul,kabul-city,Arrival support and a light Kabul orientation focused on practical context before the valley journey.,KBL-003|KBL-007,kabob,Kabul,1,1
PVEH,panjshir-valley-emeralds-history,2,Parwan and Panjshir valley drive,Kabul to Panjshir,kabul-city,"Drive north through Parwan to Panjshir, visiting Jabal Saraj and the Massoud Mausoleum, with village, river, and mountain stops along the valley floor.",PRW-002|PJR-001|PJR-002,green-tea,Kabul;Parwan;Panjshir,1,2
PVEH,panjshir-valley-emeralds-history,3,Kabul heritage and city viewpoints,Kabul,kabul-city,"A full day in Kabul after the valley route, connecting museum collections, palace architecture, shrines, and viewpoints for historical context.",KBL-002|KBL-001|KBL-005|KBL-009,qabuli-palaw,Kabul,1,3
PVEH,panjshir-valley-emeralds-history,4,Departure,Kabul,kabul-city,Hotel check-out and airport transfer with optional final market stop if time allows.,KBL-015,green-tea,Kabul,1,4
CAD,central-afghanistan-discovery,1,Arrive Kabul,Kabul,kabul-city,"Airport reception as specified on your proposal. A light first day: an older quarter such as Murad Khane, time in Babur’s Gardens if the light and traffic allow it, and an evening briefing.",KBL-003|KBL-013|KBL-015,kabob,Kabul,1,1
CAD,central-afghanistan-discovery,2,Kabul to Bamyan,Kabul to Bamyan,bamyan-city,"Early start. The highland road is chosen that week based on conditions and schedule. Stops and lunch follow the road day, with the aim of reaching Bamyan while there is still daylight.",PRW-001|WRD-001,green-tea,Kabul;Parwan;Wardak;Bamyan,1,2
CAD,central-afghanistan-discovery,3,Bamyan valley,Bamyan,bamyan-city,"The Buddha Niches, Shahr-e-Gholghola, and Shahr-e-Zohak. The empty alcoves and fortress ruins place the valley’s Buddhist, Silk Road, and later history in the landscape.",BMY-001|BMY-002|BMY-003,ash,Bamyan,1,3
CAD,central-afghanistan-discovery,4,Band-e-Amir,Bamyan / Band-e-Amir,bamyan-city,"A full day to the lakes when the road and weather are suitable. If they are not, the day becomes additional time in the Bamyan valley. We do not force the lakes in bad conditions.",BMY-004,green-tea,Bamyan,1,4
CAD,central-afghanistan-discovery,5,Return to Kabul,Bamyan to Kabul,kabul-city,"Back through the central highlands. The day also provides buffer time for road conditions, weather, and delays before an evening in Kabul.",WRD-001,bolani,Bamyan;Wardak;Kabul,1,5
CAD,central-afghanistan-discovery,6,"Kabul, slower",Kabul,kabul-city,"National Museum, Darulaman Palace, Sakhi Shrine, a viewpoint, or market stops chosen around energy, timing, and current access. Chicken Street can be included when the day allows.",KBL-002|KBL-001|KBL-005|KBL-009,qabuli-palaw,Kabul,1,6
CAD,central-afghanistan-discovery,7,Depart,Kabul,kabul-city,Airport transfer and departure support as specified on the written proposal.,KBL-007,green-tea,Kabul,1,7
ADTS,afghanistan-discovery-tour-spring,1,Arrival and Kabul orientation,Kabul,kabul-city,"Arrival in Kabul with a soft spring orientation through gardens, markets, and historic neighborhoods.",KBL-003|KBL-013|KBL-015,kabob,Kabul,1,1
ADTS,afghanistan-discovery-tour-spring,2,Kabul heritage circuit,Kabul,kabul-city,"A full day linking the National Museum, Darulaman Palace, Sakhi Shrine, and city viewpoints.",KBL-002|KBL-001|KBL-005|KBL-009,qabuli-palaw,Kabul,1,2
ADTS,afghanistan-discovery-tour-spring,3,Fly to Herat and old city introduction,Kabul to Herat,herat-city,"Domestic flight to Herat when available, followed by the old city, bazaars, and first views of Timurid-era architecture.",HER-001|HER-002,saffron-tea,Kabul;Herat,1,3
ADTS,afghanistan-discovery-tour-spring,4,"Herat mosque, citadel, and minarets",Herat,herat-city,"A focused Herat day around the Friday Mosque, Herat Citadel, Musalla minarets, tilework, and old-city lanes.",HER-003|HER-002|HER-004|HER-001,saffron-tea,Herat,1,4
ADTS,afghanistan-discovery-tour-spring,5,Return to Kabul and prepare for Bamyan,Herat to Kabul,kabul-city,"Morning buffer for Herat or return flight to Kabul, followed by vehicle preparation for the central highlands.",KBL-007,green-tea,Herat;Kabul,1,5
ADTS,afghanistan-discovery-tour-spring,6,Drive to Bamyan,Kabul to Bamyan,bamyan-city,"Overland drive by 4WD into Bamyan with stops adjusted around daylight, season, and road conditions.",PRW-001|WRD-001,ash,Kabul;Parwan;Wardak;Bamyan,1,6
ADTS,afghanistan-discovery-tour-spring,7,Bamyan monuments and valley sites,Bamyan,bamyan-city,"Explore the Buddha Niches, Shahr-e-Gholghola, Shahr-e-Zohak, and nearby valley viewpoints.",BMY-001|BMY-002|BMY-003|BMY-006,mantu,Bamyan,1,7
ADTS,afghanistan-discovery-tour-spring,8,Band-e-Amir or return route buffer,Bamyan / Band-e-Amir,bamyan-city,"Visit Band-e-Amir if conditions allow, or use the day as a weather and road buffer in the Bamyan area.",BMY-004|BMY-005,green-tea,Bamyan,1,8
ADTS,afghanistan-discovery-tour-spring,9,Return to Kabul and departure,Bamyan to Kabul,kabul-city,Return to Kabul by 4WD and position for departure or post-tour hotel night.,,green-tea,Bamyan;Wardak;Parwan;Kabul,1,9
ADTF,afghanistan-discovery-tour-fall,1,Arrival and Kabul orientation,Kabul,kabul-city,"Arrival in Kabul with a soft fall orientation through gardens, markets, and historic neighborhoods.",KBL-003|KBL-013|KBL-015,kabob,Kabul,1,1
ADTF,afghanistan-discovery-tour-fall,2,Kabul heritage circuit,Kabul,kabul-city,"A full day linking the National Museum, Darulaman Palace, Sakhi Shrine, and city viewpoints.",KBL-002|KBL-001|KBL-005|KBL-009,qabuli-palaw,Kabul,1,2
ADTF,afghanistan-discovery-tour-fall,3,Fly to Herat and old city introduction,Kabul to Herat,herat-city,"Domestic flight to Herat when available, followed by the old city, bazaars, and first views of Timurid-era architecture.",HER-001|HER-002,saffron-tea,Kabul;Herat,1,3
ADTF,afghanistan-discovery-tour-fall,4,"Herat mosque, citadel, and minarets",Herat,herat-city,"A focused Herat day around the Friday Mosque, Herat Citadel, Musalla minarets, tilework, and old-city lanes.",HER-003|HER-002|HER-004|HER-001,saffron-tea,Herat,1,4
ADTF,afghanistan-discovery-tour-fall,5,Return to Kabul and prepare for Bamyan,Herat to Kabul,kabul-city,"Morning buffer for Herat or return flight to Kabul, followed by vehicle preparation for the central highlands.",KBL-007,green-tea,Herat;Kabul,1,5
ADTF,afghanistan-discovery-tour-fall,6,Drive to Bamyan,Kabul to Bamyan,bamyan-city,"Overland drive by 4WD into Bamyan with stops adjusted around daylight, season, and road conditions.",PRW-001|WRD-001,ash,Kabul;Parwan;Wardak;Bamyan,1,6
ADTF,afghanistan-discovery-tour-fall,7,Bamyan monuments and valley sites,Bamyan,bamyan-city,"Explore the Buddha Niches, Shahr-e-Gholghola, Shahr-e-Zohak, and nearby valley viewpoints.",BMY-001|BMY-002|BMY-003|BMY-006,mantu,Bamyan,1,7
ADTF,afghanistan-discovery-tour-fall,8,Band-e-Amir or return route buffer,Bamyan / Band-e-Amir,bamyan-city,"Visit Band-e-Amir if conditions allow, or use the day as a weather and road buffer in the Bamyan area.",BMY-004|BMY-005,green-tea,Bamyan,1,8
ADTF,afghanistan-discovery-tour-fall,9,Return to Kabul and departure,Bamyan to Kabul,kabul-city,Return to Kabul by 4WD and position for departure or post-tour hotel night.,,green-tea,Bamyan;Wardak;Parwan;Kabul,1,9
BUZE,buzkashi-expedition,1,Arrival and winter logistics briefing,Kabul,kabul-city,"Arrival in Kabul, winter clothing review, route briefing, and confirmation of northern movement by flight or road depending on the season.",KBL-003|KBL-007,kabob,Kabul,1,1
BUZE,buzkashi-expedition,2,Kabul cultural orientation,Kabul,kabul-city,"A practical Kabul day covering the old city, bird market, museum, and viewpoints before leaving the capital.",KBL-013|KBL-015|KBL-002|KBL-009,qabuli-palaw,Kabul,1,2
BUZE,buzkashi-expedition,3,Travel to Mazar-e-Sharif,Kabul to Mazar-e-Sharif,mazar-e-sharif,Travel north by domestic flight or by road through the Salang corridor if conditions support it.,PRW-001|SAM-001,green-tea,Kabul;Parwan;Samangan;Balkh,1,3
BUZE,buzkashi-expedition,4,Blue Mosque and Mazar orientation,Mazar-e-Sharif,mazar-e-sharif,"Explore the Shrine of Hazrat Ali and surrounding city life, with time to coordinate buzkashi match details locally.",BAL-001,uzbek-palaw,Balkh,1,4
BUZE,buzkashi-expedition,5,Buzkashi match day,Balkh / northern plains,mazar-e-sharif,"Attend a buzkashi match when scheduled locally. Match location, timing, and access vary, so this day remains flexible.",BAL-006,uzbek-palaw,Balkh,1,5
BUZE,buzkashi-expedition,6,Ancient Balkh and literary heritage,Balkh,mazar-e-sharif,"Visit Ancient Balkh, Rabia Balkhi’s tomb, Haji Piyada Mosque, and sites connected to the spiritual and literary history of the region.",BAL-002|BAL-003|BAL-004|BAL-005,green-tea,Balkh,1,6
BUZE,buzkashi-expedition,7,Samangan Buddhist heritage,Mazar-e-Sharif / Samangan,mazar-e-sharif,Day trip toward Samangan to visit Takht-e Rostam and Buddhist cave sites if road timing permits.,SAM-001|SAM-002,naan,Balkh;Samangan,1,7
BUZE,buzkashi-expedition,8,Return to Kabul,Mazar-e-Sharif to Kabul,kabul-city,Return to Kabul by flight or road depending on schedule and winter conditions.,KBL-017,green-tea,Balkh;Kabul,1,8
BUZE,buzkashi-expedition,9,Kabul market and farewell meal,Kabul,kabul-city,"Final full day in Kabul for carpets, copper, crafts, shrines, and a farewell meal.",KBL-007|KBL-005|KBL-012,kabob,Kabul,1,9
BUZE,buzkashi-expedition,10,Departure,Kabul,kabul-city,Airport transfer and departure support.,,green-tea,Kabul,1,10
SUMC,summer-circuit,1,Arrival and Kabul orientation,Kabul,kabul-city,Arrival in Kabul with a summer-specific briefing and light city orientation.,KBL-003|KBL-007,kabob,Kabul,1,1
SUMC,summer-circuit,2,Kabul heritage day,Kabul,kabul-city,"National Museum, Darulaman Palace, Babur’s Gardens, and selected shrines or viewpoints.",KBL-002|KBL-001|KBL-003|KBL-005,qabuli-palaw,Kabul,1,2
SUMC,summer-circuit,3,Travel north through Salang or by flight,Kabul to North,mazar-e-sharif,"Move toward the northern plains using the most practical route available, with road and weather conditions determining the final routing.",PRW-001|SAM-001,green-tea,Parwan;Samangan;Balkh,1,3
SUMC,summer-circuit,4,Mazar and Ancient Balkh,Balkh,mazar-e-sharif,"Explore the Blue Mosque and Ancient Balkh, with literary and religious sites added as timing allows.",BAL-001|BAL-002|BAL-003|BAL-004,uzbek-palaw,Balkh,1,4
SUMC,summer-circuit,5,Samangan or Kunduz agricultural belt,Samangan / Kunduz,mazar-e-sharif,"A route-dependent day into Samangan Buddhist sites or Kunduz farmlands, selected around access and road timing.",SAM-001|SAM-002|KDZ-001,naan,Samangan;Kunduz,1,5
SUMC,summer-circuit,6,Travel to Bamyan,Mazar-e-Sharif to Bamyan,bamyan-city,Move toward Bamyan through the most practical route available for summer conditions.,BMY-005,green-tea,Balkh;Samangan;Bamyan,1,6
SUMC,summer-circuit,7,Bamyan and Band-e-Amir,Bamyan,bamyan-city,"Buddha Niches, Shahr-e-Gholghola, Shahr-e-Zohak, and Band-e-Amir if timing allows.",BMY-001|BMY-002|BMY-003|BMY-004,ash,Bamyan,1,7
SUMC,summer-circuit,8,Return to Kabul,Bamyan to Kabul,kabul-city,Return to Kabul by 4WD and prepare for departure.,WRD-001,green-tea,Bamyan;Wardak;Kabul,1,8
WNTC,winter-circuit,1,Arrival and Kabul orientation,Kabul,kabul-city,Arrival in Kabul with a winter-specific briefing and light city orientation.,KBL-003|KBL-007,kabob,Kabul,1,1
WNTC,winter-circuit,2,Kabul heritage day,Kabul,kabul-city,"National Museum, Darulaman Palace, Babur’s Gardens, and selected shrines or viewpoints.",KBL-002|KBL-001|KBL-003|KBL-005,qabuli-palaw,Kabul,1,2
WNTC,winter-circuit,3,Travel north through Salang or by flight,Kabul to North,mazar-e-sharif,"Move toward the northern plains using the most practical route available, with road and weather conditions determining the final routing.",PRW-001|SAM-001,green-tea,Parwan;Samangan;Balkh,1,3
WNTC,winter-circuit,4,Mazar and Ancient Balkh,Balkh,mazar-e-sharif,"Explore the Blue Mosque and Ancient Balkh, with literary and religious sites added as timing allows.",BAL-001|BAL-002|BAL-003|BAL-004,uzbek-palaw,Balkh,1,4
WNTC,winter-circuit,5,Samangan or Kunduz agricultural belt,Samangan / Kunduz,mazar-e-sharif,"A route-dependent day into Samangan Buddhist sites or Kunduz farmlands, selected around access and road timing.",SAM-001|SAM-002|KDZ-001,naan,Samangan;Kunduz,1,5
WNTC,winter-circuit,6,Return toward Kabul and winter buffer,North to Kabul,kabul-city,Conservative winter routing back toward Kabul with weather buffer built into the schedule.,PRW-001,green-tea,Balkh;Parwan;Kabul,1,6
WNTC,winter-circuit,7,Drive to Bamyan if winter access permits,Kabul to Bamyan,bamyan-city,4WD drive to Bamyan when road conditions allow; otherwise this day remains a central highlands substitute.,WRD-001|BMY-005,ash,Kabul;Wardak;Bamyan,1,7
WNTC,winter-circuit,8,Bamyan winter valley sites,Bamyan,bamyan-city,Bamyan valley cultural sites and snow landscape photography.,BMY-001|BMY-002|BMY-003,mantu,Bamyan,1,8
WNTC,winter-circuit,9,Band-e-Amir or Koh-e-Baba viewpoints,Bamyan,bamyan-city,Weather-dependent visit to Band-e-Amir or nearby Koh-e-Baba viewpoints.,BMY-004|BMY-005,green-tea,Bamyan,1,9
WNTC,winter-circuit,10,Return to Kabul,Bamyan to Kabul,kabul-city,Return by 4WD with conservative winter timing.,WRD-001,green-tea,Bamyan;Wardak;Kabul,1,10
WNTC,winter-circuit,11,Kabul final day,Kabul,kabul-city,"Final Kabul markets, shrines, and city viewpoints.",KBL-015|KBL-007|KBL-009|KBL-005,kabob,Kabul,1,11
WNTC,winter-circuit,12,Departure,Kabul,kabul-city,Airport transfer and departure support.,,green-tea,Kabul,1,12
TGHT,timurid-grandeur-herat-tour,1,Arrival in Kabul,Kabul,kabul-city,"Arrival support, hotel check-in, and light Kabul orientation.",KBL-003|KBL-007,kabob,Kabul,1,1
TGHT,timurid-grandeur-herat-tour,2,Kabul heritage context,Kabul,kabul-city,"National Museum, Darulaman Palace, and selected city stops to frame Afghanistan’s wider historical story.",KBL-002|KBL-001|KBL-005,qabuli-palaw,Kabul,1,2
TGHT,timurid-grandeur-herat-tour,3,Fly to Herat and old city walk,Herat,herat-city,Domestic flight to Herat and a first walk through old-city streets and bazaars.,HER-001|HER-002,saffron-tea,Herat,1,3
TGHT,timurid-grandeur-herat-tour,4,"Friday Mosque, citadel, and tilework",Herat,herat-city,"A full Timurid Herat day centered on the Friday Mosque, citadel, minarets, and craft traditions.",HER-003|HER-002|HER-004,saffron-tea,Herat,1,4
TGHT,timurid-grandeur-herat-tour,5,Herat cultural buffer day,Herat,herat-city,"Additional Herat sites, bazaars, photography time, and schedule buffer for domestic flight changes.",HER-001|HER-004,green-tea,Herat,1,5
TGHT,timurid-grandeur-herat-tour,6,Return to Kabul,Kabul,kabul-city,Return flight to Kabul and final city stops according to time.,KBL-006|KBL-009,kabob,Kabul,1,6
TGHT,timurid-grandeur-herat-tour,7,Departure,Kabul,kabul-city,Airport transfer and departure.,,green-tea,Kabul,1,7
KTDE,kandahar-durrani-empire-tour,1,Arrival in Kabul,Kabul,kabul-city,Arrival support and Kabul orientation before the Kandahar sector.,KBL-003|KBL-007,kabob,Kabul,1,1
KTDE,kandahar-durrani-empire-tour,2,Kabul historical context,Kabul,kabul-city,"Museum, Darulaman Palace, and selected sites connected to Afghanistan’s modern history.",KBL-002|KBL-001|KBL-017,qabuli-palaw,Kabul,1,2
KTDE,kandahar-durrani-empire-tour,3,Fly to Kandahar,Kandahar,kandahar-city,"Domestic flight to Kandahar when operating, hotel check-in, and Ayno Mina or city orientation.",KDR-006,green-tea,Kandahar,1,3
KTDE,kandahar-durrani-empire-tour,4,Durrani and Hotak heritage,Kandahar,kandahar-city,"Visit the Tomb of Ahmad Shah Durrani, Shrine of Mirwais Hotak, Mosque of the Sacred Cloak exterior/area as permitted, and Baba Wali Shrine.",KDR-001|KDR-002|KDR-003|KDR-004,kandahar-rosht,Kandahar,1,4
KTDE,kandahar-durrani-empire-tour,5,Chilzina and return to Kabul,Kandahar to Kabul,kabul-city,"Morning visit to Chilzina/Forty Steps if timing and access allow, then return flight to Kabul.",KDR-005,green-tea,Kandahar;Kabul,1,5
KTDE,kandahar-durrani-empire-tour,6,Departure,Kabul,kabul-city,Airport transfer and departure support.,,green-tea,Kabul,1,6
TSRA,treasures-of-silk-road-afghanistan,1,Arrival in Kabul,Kabul,kabul-city,"Arrival support, hotel check-in, and route briefing for the multi-region journey.",KBL-003|KBL-007,kabob,Kabul,1,1
TSRA,treasures-of-silk-road-afghanistan,2,Kabul heritage foundation,Kabul,kabul-city,"National Museum, Darulaman Palace, Babur’s Gardens, and selected shrines.",KBL-002|KBL-001|KBL-003|KBL-005,qabuli-palaw,Kabul,1,2
TSRA,treasures-of-silk-road-afghanistan,3,Drive to Bamyan,Bamyan,bamyan-city,Overland movement to Bamyan by 4WD with central highland stops.,WRD-001|BMY-005,green-tea,Kabul;Wardak;Bamyan,1,3
TSRA,treasures-of-silk-road-afghanistan,4,Bamyan and Band-e-Amir,Bamyan,bamyan-city,Bamyan valley monuments plus Band-e-Amir when timing and conditions allow.,BMY-001|BMY-002|BMY-003|BMY-004,ash,Bamyan,1,4
TSRA,treasures-of-silk-road-afghanistan,5,Return to Kabul and fly to Herat,Kabul / Herat,herat-city,Return to Kabul and connect to Herat by domestic flight where schedule permits.,HER-001,saffron-tea,Bamyan;Kabul;Herat,1,5
TSRA,treasures-of-silk-road-afghanistan,6,Herat Timurid sites,Herat,herat-city,"Friday Mosque, Herat Citadel, Musalla minarets, and old city bazaars.",HER-003|HER-002|HER-004|HER-001,saffron-tea,Herat,1,6
TSRA,treasures-of-silk-road-afghanistan,7,Fly to Mazar-e-Sharif via Kabul if required,Mazar-e-Sharif,mazar-e-sharif,"Domestic flight connection to the north, often via Kabul depending on schedule.",BAL-001,uzbek-palaw,Balkh,1,7
TSRA,treasures-of-silk-road-afghanistan,8,Ancient Balkh circuit,Balkh,mazar-e-sharif,"Ancient Balkh, Rabia Balkhi, Haji Piyada, Rumi family heritage, and Qala-i-Jangi if timing permits.",BAL-002|BAL-003|BAL-004|BAL-005|BAL-006,green-tea,Balkh,1,8
TSRA,treasures-of-silk-road-afghanistan,9,Samangan Buddhist heritage,Samangan,mazar-e-sharif,"Day trip to Takht-e Rostam and Buddhist cave monasteries, depending on road conditions.",SAM-001|SAM-002,naan,Samangan,1,9
TSRA,treasures-of-silk-road-afghanistan,10,Return to Kabul and departure,Kabul,kabul-city,Return to Kabul by flight or road and position for departure.,,green-tea,Kabul,1,10
TTWC,trek-the-wakhan-corridor,1,Arrival and expedition briefing,Kabul,kabul-city,"Arrival support, gear review, and briefing for long-distance mountain travel.",KBL-003|KBL-007,kabob,Kabul,1,1
TTWC,trek-the-wakhan-corridor,2,Fly or drive north to Mazar,Mazar-e-Sharif,mazar-e-sharif,Move north to Mazar-e-Sharif and stage for the northeast approach.,BAL-001,green-tea,Balkh,1,2
TTWC,trek-the-wakhan-corridor,3,Balkh and northern heritage,Balkh,mazar-e-sharif,Ancient Balkh and selected Silk Road sites before moving east.,BAL-002|BAL-003|BAL-004,uzbek-palaw,Balkh,1,3
TTWC,trek-the-wakhan-corridor,4,Drive toward Kunduz and Takhar,Kunduz / Takhar,faizabad-city,Long overland day through northern agricultural belts toward the Badakhshan gateway.,KDZ-001|TKH-001,green-tea,Kunduz;Takhar,1,4
TTWC,trek-the-wakhan-corridor,5,Faizabad and Badakhshan setup,Badakhshan,faizabad-city,"Arrive or position in Faizabad, confirm onward mountain access, and prepare for Wakhan movement.",BDK-001,green-tea,Badakhshan,1,5
TTWC,trek-the-wakhan-corridor,6,Badakhshan mountain route,Badakhshan,faizabad-city,"Mountain-road travel through valleys and river corridors, timing dependent on road and weather.",BDK-001,naan,Badakhshan,1,6
TTWC,trek-the-wakhan-corridor,7,Wakhan approach,Wakhan Corridor,faizabad-city,"Move toward the Wakhan corridor when conditions and permissions allow, with village and landscape stops.",BDK-002,green-tea,Badakhshan,1,7
TTWC,trek-the-wakhan-corridor,8,Wakhan valley exploration,Wakhan Corridor,faizabad-city,"Day focused on mountain landscapes, local settlements, and borderland geography rather than rushed mileage.",BDK-002,naan,Badakhshan,1,8
TTWC,trek-the-wakhan-corridor,9,High mountain viewpoint day,Badakhshan,faizabad-city,"Flexible mountain day for photography, short walks, or route extension depending on group ability.",BDK-001|BDK-003,green-tea,Badakhshan,1,9
TTWC,trek-the-wakhan-corridor,10,Return toward Faizabad,Badakhshan,faizabad-city,Begin the return movement out of the Wakhan/Badakhshan mountain zone.,BDK-001,green-tea,Badakhshan,1,10
TTWC,trek-the-wakhan-corridor,11,Buffer day for mountain roads,Badakhshan / Takhar,faizabad-city,"Operational buffer for weather, road closures, or delayed local movement.",TKH-001,green-tea,Badakhshan;Takhar,1,11
TTWC,trek-the-wakhan-corridor,12,Return to northern plains,Kunduz / Balkh,mazar-e-sharif,Move west toward the northern plains and Mazar-e-Sharif.,KDZ-001,uzbek-palaw,Kunduz;Balkh,1,12
TTWC,trek-the-wakhan-corridor,13,Mazar rest and Blue Mosque,Mazar-e-Sharif,mazar-e-sharif,Recovery day in Mazar-e-Sharif with Blue Mosque and city time.,BAL-001,uzbek-palaw,Balkh,1,13
TTWC,trek-the-wakhan-corridor,14,Samangan route option,Samangan,mazar-e-sharif,Optional Samangan Buddhist heritage day or rest/buffer depending on prior road movement.,SAM-001|SAM-002,naan,Samangan,1,14
TTWC,trek-the-wakhan-corridor,15,Return to Kabul,Kabul,kabul-city,"Return by flight or road, depending on operations.",PRW-001,green-tea,Balkh;Kabul,1,15
TTWC,trek-the-wakhan-corridor,16,Kabul recovery and market day,Kabul,kabul-city,"Rest, laundry, markets, and low-pressure Kabul sightseeing.",KBL-007|KBL-015|KBL-005,kabob,Kabul,1,16
TTWC,trek-the-wakhan-corridor,17,Panjshir extension,Panjshir,kabul-city,Day trip to Panjshir if conditions and group energy allow.,PJR-001|PJR-002|PRW-002,green-tea,Panjshir;Parwan,1,17
TTWC,trek-the-wakhan-corridor,18,Kabul museum and palace,Kabul,kabul-city,"National Museum, Darulaman Palace, and final heritage sites.",KBL-002|KBL-001|KBL-003,qabuli-palaw,Kabul,1,18
TTWC,trek-the-wakhan-corridor,19,Contingency / custom interest day,Kabul,kabul-city,"Built-in contingency day for delayed flights, road changes, or a guest interest such as food, markets, or interviews.",KBL-012|KBL-014|KBL-019,green-tea,Kabul,1,19
TTWC,trek-the-wakhan-corridor,20,Final preparation,Kabul,kabul-city,"Packing, documentation, final meals, and departure preparation.",KBL-006,kabob,Kabul,1,20
TTWC,trek-the-wakhan-corridor,21,Departure,Kabul,kabul-city,Airport transfer and departure support.,,green-tea,Kabul,1,21
