dish_code,name,slug,region_code,province_code,destination_code,category,meal_type,is_produce,season_start,season_end,desc_short,image_path,is_active
AF-KBL-CHA,Green Tea,green-tea,CENTRAL,KBL,KBLC,Beverage,Tea,0,1,12,Traditional Afghan green tea served throughout the country.,/assets/images/food/drinks/green-tea/hero.webp,TRUE
AF-KBL-DOG,Dogh,dogh,CENTRAL,KBL,KBLC,Beverage,Drink,0,1,12,Cooling yogurt drink often served with meals.,/assets/images/food/drinks/doogh/hero.webp,TRUE
AF-BMY-POT,Bamyan Potatoes,bamyan-potatoes,CENTRAL,BMY,BMYC,Produce,Ingredient,1,9,11,Buttery potatoes grown in Bamyan valley.,/assets/images/food/dishes/bamyan-potatoes/hero.webp,TRUE
AF-KDR-POM,Kandahar Pomegranate,kandahar-pomegranate,SOUTH,KDR,KDRC,Produce,Snack,1,9,11,Ruby red pomegranates famous across Afghanistan.,/assets/images/food/produce/kandahar-pomegranate/hero.webp,TRUE
AF-HER-SAF,Herat Saffron,herat-saffron,WEST,HER,HERC,Produce,Ingredient,1,10,11,Premium saffron grown near Herat.,/assets/images/food/dried-fruit/herat-saffron/hero.webp,TRUE
AF-BAL-MEL,Balkh Melon,balkh-melon,NORTH,BAL,MAZC,Produce,Snack,1,8,10,Sweet melon grown in Balkh province.,/assets/images/food/produce/balkh-melons/hero.webp,TRUE
AF-KDZ-MEL,Kunduz Melon,kunduz-melon,NORTH,KDZ,MAZC,Produce,Snack,1,7,9,Northern summer melon with floral aroma.,/assets/images/food/produce/kunduz-melon/hero.webp,TRUE
AF-PJR-WAL,Panjshir Walnuts,panjshir-walnuts,CENTRAL,PJR,KBLC,Produce,Snack,1,9,10,Fresh walnuts harvested in Panjshir valley.,/assets/images/food/dried-fruit/panjshir-walnuts/hero.webp,TRUE
AF-FRH-WAT,Farah Watermelon,farah-watermelon,WEST,FRH,HERC,Produce,Snack,1,5,8,Large red watermelon grown in Farah.,/assets/images/food/produce/farah-watermellons/hero.webp,TRUE
AF-SAM-PIS,Samangan Pistachios,samangan-pistachios,NORTH,SAM,MAZC,Produce,Snack,1,8,10,Famous wild pistachios from Samangan.,/assets/images/food/dried-fruit/samangan-pistachios/hero.webp,TRUE
AF-HER-RAI,Herat Raisins,herat-raisins,WEST,HER,HERC,Produce,Snack,1,8,10,Sun dried raisins from Herat vineyards.,/assets/images/food/dried-fruit/herat-raisins/hero.webp,TRUE
AF-BAL-ALM,Balkh Almonds,balkh-almonds,NORTH,BAL,MAZC,Produce,Snack,1,8,10,Crunchy almonds grown in Balkh province.,/assets/images/food/dried-fruit/balkh-almonds/hero.webp,TRUE
AF-WRD-APP,Wardak Apples,wardak-apples,CENTRAL,WRD,KBLC,Produce,Snack,1,8,10,Famous mountain apples from Wardak province.,/assets/images/food/produce/wardak-apples/hero.webp,TRUE
AF-DYK-ALM,Daykundi Almonds,daykundi-almonds,CENTRAL,DYK,BMYC,Produce,Snack,1,8,10,Premium almonds grown in the highlands of Daykundi.,/assets/images/placeholders/default-food.webp,TRUE
AF-BDK-MUL,Badakhshan Mulberries,badakhshan-mulberries,NORTH,BDK,FAIC,Produce,Snack,1,7,9,Sweet mulberries harvested from mountain valleys.,/assets/images/placeholders/default-food.webp,TRUE
AF-KDR-GRP,Kandahar Grapes,kandahar-grapes,SOUTH,KDR,KDRC,Produce,Snack,1,8,10,Renowned table grapes from Kandahar vineyards.,/assets/images/placeholders/default-food.webp,TRUE
