attraction_code,name,province_code,base_location_code,visit_time_minutes,trip_classification,activity_level,is_active,notes,needs_manual_review
KBL-004,Shah-e-Du Shamshira Mosque,KBL,KBLC,15,Tour,1,1,,FALSE
KBL-005,Sakhi Shrine,KBL,KBLC,60,Tour,1,1,,FALSE
KBL-006,Wazir Akbar Khan Hill,KBL,KBLC,60,Tour,1,1,,FALSE
KBL-007,Chicken Street,KBL,KBLC,60,Tour,1,1,,FALSE
KBL-008,Qargha Lake,KBL,KBLC,120,Tour,2,1,,FALSE
KBL-009,TV Tower Hill (Mount Asmai),KBL,KBLC,30,Tour,1,1,,FALSE
KBL-010,Bala Hissar,KBL,KBLC,60,Tour,1,1,,FALSE
KBL-011,Kabul Zoo,KBL,KBLC,75,Tour,2,1,,FALSE
KBL-012,Taq-e-Zafar Paghman,KBL,KBLC,75,Tour,2,1,,FALSE
KBL-013,Murad Khane,KBL,KBLC,30,Tour,1,1,,FALSE
KBL-014,Tape Nader Khan,KBL,KBLC,45,Tour,1,1,,FALSE
KBL-015,Kahfroshi Bird Market,KBL,KBLC,60,Tour,1,1,,FALSE
KBL-016,Ghazi Olympic Stadium,KBL,KBLC,45,Tour,1,1,,FALSE
KBL-017,OMAR Landmine Museum,KBL,KBLC,90,Tour,2,1,,FALSE
KBL-018,Khurd-Kabul Pass,KBL,KBLC,240,Tour,3,1,,FALSE
KDR-001,Tomb of Ahmad Shah Durrani,KDR,KDRC,45,Tour,1,1,,FALSE
KDR-002,Shrine of Mirwais Hotak,KDR,KDRC,45,Tour,1,1,,FALSE
KDR-003,Baba Wali Shrine,KDR,KDRC,60,Tour,1,1,,FALSE
KDR-004,Mosque of the Sacred Cloak,KDR,KDRC,30,Tour,1,1,,FALSE
KDR-005,Chilzina and the Forty Steps,KDR,KDRC,75,Tour,2,1,,FALSE
KDR-006,Ayno Mina,KDR,KDRC,75,Tour,2,1,,FALSE
KPS-001,Nijrab Valley,KPS,KBLC,120,Adventure,3,1,,FALSE
KHT-001,Khost City Scenery,KHT,JBDC,60,Adventure,3,1,,FALSE
KNR-001,Kunar River Valley,KNR,JBDC,120,Adventure,3,1,,FALSE
KDZ-001,Kunduz City & Farmlands,KDZ,MAZC,120,Adventure,3,1,,FALSE
LGM-001,Alingar Valley,LGM,JBDC,120,Adventure,3,1,,FALSE
LGR-001,Logar Valleys,LGR,KBLC,120,Adventure,3,1,,FALSE
NGH-001,Amanullah Tomb,NGH,JBDC,90,Tour,2,1,,FALSE
NGH-002,Darunta Lake,NGH,JBDC,60,Tour,1,1,,FALSE
NGH-003,Gandamak Last Stand Site,NGH,JBDC,60,Adventure,3,1,,FALSE
NIM-001,Nimroz Citadel,NIM,HERC,60,Expedition,4,1,,TRUE
NIM-002,Qala Muhammad,NIM,HERC,60,Expedition,4,1,,TRUE
NIM-003,Kamal Khan Dam,NIM,HERC,60,Expedition,4,1,,TRUE
NRS-001,Parun Valley,NRS,JBDC,120,Expedition,4,1,,TRUE
NRS-002,Bashgal Valley,NRS,JBDC,120,Expedition,4,1,,TRUE
NRS-003,Barg-e Matal & Lakes,NRS,JBDC,120,Expedition,4,1,,TRUE
PTA-001,Gardez & Zurmat Highlands,PTA,KBLC,60,Adventure,3,1,,FALSE
PTK-001,Paktika Highlands,PTK,KBLC,60,Adventure,3,1,,FALSE
PJR-001,Ahmad Shah Massoud Mausoleum,PJR,KBLC,60,Tour,1,1,,FALSE
PJR-002,Paryan Valley,PJR,KBLC,120,Expedition,4,1,,TRUE
PRW-001,Salang Pass,PRW,KBLC,30,Tour,1,1,,FALSE
PRW-002,Jabal Saraj Palace,PRW,KBLC,45,Tour,1,1,,FALSE
SAM-001,Takht-e Rostam,SAM,MAZC,90,Tour,2,1,,FALSE
SAM-002,Buddhist Cave Monasteries,SAM,MAZC,90,Tour,2,1,,FALSE
SEP-001,Sar-e-Pol Meadows,SEP,MAZC,60,Expedition,4,1,,TRUE
TKH-001,Ai-Khanoum,TKH,FAIC,120,Adventure,3,1,,FALSE
URZ-001,Tarin Kot Surroundings,URZ,KDRC,120,Expedition,4,1,,TRUE
WRD-001,Wardak Highlands,WRD,KBLC,60,Adventure,3,1,,FALSE
ZBL-001,Shahjoy & Qalat Valleys,ZBL,KDRC,150,Adventure,3,1,,FALSE
KBL-019,Tomb of Nader Khan,KBL,KBLC,60,Tour,1,1,Generated to complete operational coverage for the attraction master record. Verify before final itinerary publication.,TRUE
GHZ-006,Mausoleum of Shah Shahid,GHZ,GHZC,60,Tour,1,1,Generated after resolving duplicate GHZ-005; verify before publication.,TRUE
